Model,AUC,F1,Accuracy
XGB-Clf,0.840327462850853,0.45390070921985815,0.787292817679558
RF-Clf,0.8345143093010458,0.43478260869565216,0.7486187845303868
Logistic,0.8199642267473858,0.4473684210526316,0.7679558011049724
LGBM-Clf,0.8196890478811227,0.32727272727272727,0.7955801104972375
