Model,RMSE,MAE,R2,NSE,KGE,MBE
RF,7.233437548259259,5.529321621046472,0.8308559303036503,0.8308559303036503,0.8863877597789472,-0.10386862617333165
XGBoost,7.540998480516232,5.6144453622331385,0.8161663501306191,0.8161663501306191,0.8852623535227505,-0.19171219245015475
LightGBM,7.804861760127497,5.949779040733811,0.8030764148896691,0.8030764148896691,0.8809589085452959,-0.3015047485905932
Ridge,8.2671001766511,6.392429700458159,0.7790603286039648,0.7790603286039648,0.8731270587252996,1.5321070719066954
