Model,RMSE,MAE,R2,NSE,KGE,MBE
Ridge,0.33537777082808495,0.26454817139777725,0.9295468557038559,0.9295468557038559,0.9589262683310756,-0.03877178171441901
XGBoost,0.34688126535987635,0.2712083617846171,0.924630866510258,0.924630866510258,0.933029491072344,-0.07473993857701622
RF,0.34800160615621484,0.27361851160413597,0.9241432329467291,0.9241432329467291,0.9264678574273003,0.080842035233284
LightGBM,0.3876164095076549,0.3073810042387468,0.9058899202402165,0.9058899202402165,0.9195677896456049,-0.14857116864464495
