Year,Month,AVERAGE TEMPERATURE (Deg C),BAROMETRIC PRESSURE (hPa),CLOUD COVER (Oktas),DEWPOINT TEMPERATURE (Deg C),EVAPOTRANSPIRATION (mm),MAXIMUM TEMPERATURE (Deg C),MINIMUM TEMPERATURE (Deg C),RAINFALL (mm),RELATIVE HUMIDITY (%),SOLAR RADIATION (MJ/m2),SUNSHINE HOURS,WIND DIRECTION (Degrees),WIND SPEED (kt),Rain_Anomaly,Date
2004.0,Mar,27.3,961.7,3.0,9.5,8.4,36.5,19.8,0.0,11.0,26.5,7.5,60.0,7.0,-0.07200000000000001,2004-03-01
2004.0,April,31.7,958.9,4.0,15.899999999999999,7.4,41.4,24.1,0.0,21.0,26.8,8.4,140.0,5.0,-20.772000000000002,2004-04-01
2004.0,May,32.1,960.5,3.0,22.3,7.3,38.6,25.7,46.3,51.0,24.5,8.1,200.0,5.0,8.275999999999996,2004-05-01
2004.0,June,29.8,963.1,5.0,21.6,5.5,36.3,24.4,96.7,59.0,23.4,7.3,210.0,5.0,-9.907999999999987,2004-06-01
2004.0,July,27.1,962.8,6.0,21.700000000000003,4.4,32.7,22.7,168.5,73.0,20.7,6.0,220.0,4.0,-4.604000000000013,2004-07-01
2004.0,Aug,26.4,963.5,6.0,22.0,3.8,31.2,22.2,186.3,78.0,18.9,4.9,220.0,5.0,-67.47599999999997,2004-08-01
2004.0,Sep,27.9,962.2,6.0,22.5,4.6,33.4,22.7,118.1,73.0,22.9,6.0,200.0,4.0,-6.292000000000016,2004-09-01
2004.0,Oct,28.9,961.6,4.0,16.7,5.0,36.7,20.2,1.6,39.0,23.4,8.2,120.0,4.0,-33.628,2004-10-01
2004.0,Nov,26.1,962.1,3.0,10.500000000000002,6.3,35.7,16.4,0.0,22.0,22.6,7.3,60.0,5.0,-0.29600000000000004,2004-11-01
2004.0,Dec,23.5,962.8,3.0,7.5,5.9,33.5,14.1,0.0,20.0,21.6,7.4,40.0,5.0,-0.16,2004-12-01
2005.0,Jan,21.5,964.7,3.0,5.5,6.1,29.9,13.1,0.0,20.0,22.1,7.1,40.0,6.0,0.0,2005-01-01
2005.0,Feb,29.0,960.3,1.0,12.2,7.2,38.4,19.9,0.0,16.0,23.7,7.1,50.0,6.0,0.0,2005-02-01
2005.0,Mar,31.1,960.4,2.0,13.5,8.3,39.9,23.4,0.0,12.0,26.0,7.6,50.0,6.0,-0.07200000000000001,2005-03-01
2005.0,April,32.9,958.7,3.0,17.299999999999997,7.9,40.7,24.8,0.0,22.0,26.2,8.4,120.0,5.0,-20.772000000000002,2005-04-01
2005.0,May,31.3,960.3,3.0,19.1,6.6,39.1,25.2,67.8,39.0,24.1,8.0,170.0,5.0,29.775999999999996,2005-05-01
2005.0,June,29.7,961.5,5.0,21.9,6.0,35.0,24.1,126.7,61.0,22.4,6.6,210.0,5.0,20.092000000000013,2005-06-01
2005.0,July,27.1,963.5,6.0,22.1,4.4,31.9,22.9,100.9,75.0,20.5,5.7,220.0,5.0,-72.20400000000001,2005-07-01
2005.0,Aug,26.3,962.9,6.0,22.1,4.0,30.6,21.9,299.2,80.0,18.0,4.5,220.0,4.0,45.42400000000001,2005-08-01
2005.0,Sep,27.9,962.5,5.0,22.299999999999997,5.0,33.7,22.9,58.1,72.0,22.5,6.4,210.0,4.0,-66.292,2005-09-01
2005.0,Oct,28.0,962.3,4.0,17.6,6.2,34.6,20.8,45.7,48.0,23.1,8.0,140.0,4.0,10.472000000000001,2005-10-01
2005.0,Nov,25.6,962.5,3.0,10.000000000000002,6.5,35.3,16.1,0.0,22.0,22.6,7.8,40.0,6.0,-0.29600000000000004,2005-11-01
2005.0,Dec,24.8,962.1,3.0,9.200000000000001,6.2,33.5,13.2,0.0,22.0,21.4,7.5,30.0,6.0,-0.16,2005-12-01
